ID,Title,Author,Genre,Description,SE_Description,URL,AccessionNo,BookType,SubjectNo,Publisher,Price,Currency,Pages,Language,CupboardNo,RackNo,Branch,YearOfPublication,BarcodePrint,IndexPrev,Page1Prev,Page2Prev,Page3Prev,SellerInfo,SellerContact,AddedBy,TimeOfEntry,Remark
764,"The Way Some People Die","Macdonald Ross","Mystery, Fiction, Mystery, Crime, Mystery, Noir, Mystery, Detective, Mystery, Hard Boiled, Thriller, Mystery Thriller, Thriller, Novels, Literature, 20th Century","In a rundown house in Santa Monica, Mrs. Samuel Lawrence presses fifty crumpled bills into Lew Archer's hand and asks him to find her wandering daughter, Galatea. Described as ‘crazy for men’ and without discrimination, she was last seen driving off with small-time gangster Joe Tarantine, a hophead hood with a rep for violence. Archer traces the hidden trail from San Francisco slum alleys to the luxury of Palm Springs, traveling through an urban wilderness of drugs and viciousness. As the bodies begin to pile up, he finds that even angel faces can mask the blackest of hearts.Filled with dope, delinquents and murder, this is classic Macdonald and one of his very best in the Lew Archer series.",NULL,https://www.goodreads.com/book/show/867621.The_Way_Some_People_Die?from_search=true&from_srp=true&qid=CB59pxnRbG&rank=1,78480,1,"823 / MAC",Fountana/Collins,0.00,₹,192,2,980,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
765,"17th Century English Verse","Massingham H J",NULL,NULL,NULL,NULL,78481,1,"821 / MASS","Mac , & Co ",0.00,₹,399,2,1110,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
766,"Under The Red Robe","Weyman S J ","Romance, Historical Romance","This book was converted from its physical edition to the digital format by a community of volunteers. You may find it for free on the web. Purchase of the Kindle edition includes wireless delivery.",NULL,https://www.goodreads.com/book/show/18908659-historical-romances?from_search=true&from_srp=true&qid=pXM7K9t3hX&rank=1,78482,1,"823 / WEY","London ",0.00,₹,317,2,1010,3,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
767,"The Winter's Tale","Adhikari N S ",NULL,NULL,NULL,NULL,78483,1,"823- / ADH",Ahmedabad,0.00,₹,312,2,1090,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
768,"Tarzan And The Lion Man","Burroughs Edgar Rice","Fantasy, Adventure, Fiction, Classics, Action, Pulp, Science Fiction, Speculative Fiction, Science Fiction Fantasy, Pulp, Pulp Adventure","A great safari had come to Africa to make a movie. It had struggled across the veldt and through the jungle in great ten-ton trucks, equipped with all the advantages of civilization. But now it was halted, almost destroyed by the poisoned arrows of the savage Bansuto tribe. There was no way to return. And ahead lay the strange valley of diamonds, where hairy gorillas lived in their town of London on the Thames, ruled by King Henry the Eighth. Behind them came Tarzan of the Apes with the Golden Lion, seeking the man who might have been his twin brother in looks -- though hardly in courage!",NULL,https://www.goodreads.com/book/show/338591.Tarzan_and_the_Lion_Man?from_search=true&from_srp=true&qid=7KyLb1WM4x&rank=1,78484,1,"823 /BUR","Mark, London ",0.00,₹,136,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
769,"The Thomas Document ","Gantzer Hugh",NULL,NULL,NULL,NULL,78485,1,"823 / GAN",Orient,6.00,₹,195,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
770,"Man and Nature","Scientists  E ",NULL,NULL,NULL,NULL,78486,1,"113 8 / SCI","IRA,  Dehradun ",2.00,₹,277,2,1281,3,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
771,"A Century of Love Stories","Frankau Gilbert",NULL,NULL,NULL,NULL,78487,1,"823-  /FRA","Hutchinson & Co , London ",0.00,₹,1022,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
772,"Ghalib And Iqbal","Sud K N ",NULL,NULL,NULL,NULL,78488,1,"821 /SUD","Sterling Pub  N  Delhi ",5.00,₹,106,2,1110,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
774,"The Moonstone","Dodd E  F -Ada",NULL,NULL,NULL,NULL,78490,1,"823- / DOD","Macmillan & Co ",1.60,₹,162,2,1090,3,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
775,"Gold Finger","Fleming Lan",NULL,NULL,NULL,NULL,78491,1,"823 / FLE","The New American Lib ,N York ",3.00,₹,191,2,970,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
776,"For Your Eyes Only","Fleming Lan",NULL,NULL,NULL,NULL,78492,1,"823 / FLE","The New American Lib ,N York ",3.00,₹,143,2,1010,6,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
777,"Poems Old And New","Cairncross A S",NULL,NULL,NULL,NULL,78493,1,"821 / CAI",NULL,0.00,₹,232,2,1110,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
778,"The Three Musketeers","Dumas Alexandre",NULL,NULL,NULL,NULL,78494,1,"823- / DUM","Dean & Son Ltd, London ",0.00,₹,248,2,1080,4,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
779,Bonophul,"Shome Bhuvan",NULL,NULL,NULL,NULL,78495,1,"823 / SHO","Orient Paperbacks, Delhi ",3.00,₹,122,2,1370,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
781,"Shakespeare's Problem Plays ","Tillyard E M W ",NULL,NULL,NULL,NULL,78497,1,"822 / TIL","Penguin Book,  England ",NULL,₹,153,2,1112,5,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
783,"Lament on the Death of a Master of Arts","Anand Mulk Raj",NULL,NULL,NULL,NULL,78499,1,"823 / ANA","Orient, Delhi ",0.00,₹,120,2,990,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
784,"What is Philosophy ?","Kirilenko G, Korshunova L ",NULL,NULL,NULL,NULL,78500,1,"101 / KIR","Progress Pub   Mascow ",5.50,₹,239,2,1290,5,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
785,"Vedanta Philosophy","Vivekananda Swami",NULL,NULL,NULL,NULL,78501,1,"101 / VIV","Udbodhan Office, Calcutta ",5.00,₹,59,2,770,6,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
786,"Katha Upanisad","Gambhirananda Swami",NULL,NULL,NULL,NULL,78502,1,"294 59218 / GAM","Advaita Ashram, Colcutta ",5.50,₹,131,2,1310,3,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
787,"The Basic Writings of  S Radhakrishnan","Mcdermott R A",NULL,NULL,NULL,NULL,78503,1,"824 / MCD","Jaico Pub , Bombay",70.00,₹,344,2,1120,5,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
788,"The History of Henry Esmond","William Makepeace Thackeray",NULL,NULL,NULL,NULL,78504,1,823/,NULL,0.00,₹,822,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
789,Mahabharta,"Rajagopalachari C ",NULL,NULL,NULL,NULL,78505,1,"294 5 / RAJ","Bharatiya Vidya Bhavan,  Bombay ",4.00,₹,332,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
790,"Soviet Literature:Yesterday Today & Tomorrow","Kuzmenko Yuri",NULL,NULL,NULL,NULL,78506,1,"891 7 / KUZ","Raduga Publishers ",0.00,₹,328,2,1220,4,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
791,"Literary Criticism: A Short History","Wimsatt, Brooks ",NULL,NULL,NULL,NULL,78507,1,"820 9 /WIM","Oxford Univ  Press,  Delhi",10.00,₹,755,2,1221,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
792,"The Great Victorians:-1","Massingham H  J",NULL,NULL,NULL,NULL,78508,1,828/MAS,"Penguin, England",0.00,₹,276,2,1140,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
794,"Khrushchev Remembers","Strobe Talbott",NULL,NULL,NULL,NULL,78510,1,"823 / TAL","National Gerneral Company",NULL,₹,703,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
795,Tiruvalluvar,"Maharajan S ",NULL,NULL,NULL,NULL,78511,1,"922 / MAH","Sahitya Academi,",4.00,₹,93,2,1030,6,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
796,"History of  Sree Guruvayur Temple","Menon T G ",NULL,NULL,NULL,NULL,78512,1,"294 5 / MEN","Santha Book Stall,",1.50,₹,52,2,1330,5,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
797,"The Mystery Beyond Mind",Osho,NULL,NULL,NULL,NULL,78513,1,"252 /OSH","Daimond, Delhi ",10.00,₹,84,2,1330,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
